stock1,stock2,correlation,adf_p_value,total_return,sharpe_ratio,max_drawdown,test_sharpe
RF,SCHW,0.9487970547874607,0.008516434250681125,1.0761318023948814,0.9388356004605096,-0.1655310950317953,1.7510493190408642
HBAN,RF,0.9255086057941078,0.022836900009792955,0.37860297282239985,0.9298446533800332,-0.0834194141554454,0.9772005914517495
ICE,JPM,0.805870634771003,0.007817535797564838,0.410625697687802,0.9160088989638131,-0.09578165044973797,0.9717570558743207
PRU,WFC,0.9233190376779493,0.002589524148786109,0.9311430849219047,0.9133706990891985,-0.17981381617339232,0.1173216288024579
CB,GL,0.8678515542021864,0.03582987467364028,0.8033755679873478,0.9091256621273713,-0.22070517027012382,0.29016884986432534
JPM,VCTR,0.9036116048933861,0.024946030411085816,2.3840097255759516,0.9070358044893746,-0.46076409653332595,0.33365275819137385
NDAQ,PRU,0.8447194369734885,0.011751276489901442,0.32772842295111615,0.870652340195309,-0.07589984278612794,0.6009819854932431
BEN,MS,0.9088537944941442,0.002269858627012308,0.5016980552751373,0.868326523314041,-0.11264056057823191,0.6464090677309067
AXP,GS,0.9150660298553869,0.02400848058063701,0.3706878892209393,0.8669375032210465,-0.08166507128921574,0.816205346759471
GL,HIG,0.8658660187026539,0.028644680611075442,0.349732201377019,0.86647578320622,-0.12079808016359517,1.1352301839285468
BLK,OMF,0.8935847032116082,0.008180200329184276,1.104474980112606,0.8639925078205162,-1.598385402102167,0.9558537632470233
AIG,CB,0.968055023781747,0.000578183143468229,0.4032288906285437,0.8613219883422213,-0.09345423731477265,1.4969292450281897
BEN,NDAQ,0.8154532661993635,0.008379380853217272,0.5212040733275096,0.8568860112682029,-0.12235850746647137,0.8635058847949943
BEN,HBAN,0.8285828647698661,0.021874626202868903,0.5862941854950301,0.8523682534035949,-0.21535786570616877,0.9713903227879914
AMTD,FIS,0.9247500695410228,0.012085190195570717,15.440749243445062,0.8444444770340563,-0.4173753170728184,1.120325412127554
RJF,TRV,0.9430585085354452,0.0008363114455672473,0.4637906660717044,0.8376590433295622,-0.13362622718954187,0.9993728108230395
